rownum,sno,CUI1,CUI2
1929,39,C3802666,C4037583
1930,40,C0047287,C1016926
1931,41,C1654354,C3886405
1932,42,C1477753,C1818289
1933,43,C1860842,C2677157
1934,44,C1301627,C1834875
1935,45,C1018414,C3437760
1936,46,C1705829,C3928048
1937,47,C0110282,C1415550
1938,48,C2699283,C3011733
1939,49,C2514320,C2944834
1940,50,C2555906,C2953484
1941,51,C0912680,C3149814
1942,52,C1135467,C2379822
1943,53,C2784169,C3541448
1944,54,C0833912,C3177687
1945,55,C2926951,C3491082
1946,56,C1482696,C2492752
1947,57,C3317306,C3467233
1948,58,C2358098,C3924894
1949,59,C0950232,C2806587
1950,60,C1085081,C3132360
1951,61,C2456352,C2660435
1952,62,C0951533,C3993063
1953,63,C1318842,C3799202
1954,64,C1208600,C1436783
1955,65,C1173355,C1638267
1956,66,C2499479,C3426075
1957,67,C1817456,C2979470
1958,68,C2514881,C2529115
1959,69,C0653704,C2763948
1960,0,C0552621,C2712537
1961,1,C1338674,C1630704
1962,2,C1064138,C3392039
1963,3,C0613586,C0963615
1964,4,C2680496,C3427944
1965,5,C0769035,C1318316
1966,6,C0101993,C1856293
1967,7,C0071648,C3914523
1968,8,C0630123,C3484350
1969,9,C0501894,C2658581
1970,10,C0935577,C2336337
1971,11,C1213652,C2292291
1972,12,C2944695,C3128746
1973,13,C1848374,C2280483
1974,14,C1010845,C1641110
1975,15,C0662227,C2303265
1976,16,C1620042,C3671678
1977,17,C1307284,C3656335
1978,18,C1664928,C1969785
1979,19,C0438741,C3764719
1980,20,C2659484,C3034935
1981,21,C2627453,C3736594
1982,22,C2670187,C3819311
1983,23,C1307261,C3940215
1984,24,C0807000,C2280708
1985,25,C3259227,C4033001
1986,26,C0997349,C3966752
1987,27,C0063717,C2297378
1988,28,C3754082,C3843907
1989,29,C0641497,C3660423
1990,30,C1178720,C1310714
1991,31,C1383512,C1430290
1992,32,C2454274,C3415789
1993,33,C0951738,C3362671
1994,34,C1527695,C3658334
1995,35,C3502405,C3920078
1996,36,C2582480,C3158252
1997,37,C1026056,C3927224
1998,38,C2330396,C2576610
1999,39,C3211411,C3432108
2000,40,C2476318,C3389736
2001,41,C2460311,C3961496
2002,42,C0040553,C4004624
2003,43,C1593650,C3358235
2004,44,C1420707,C3389772
2005,45,C0124510,C0241664
2006,46,C1112261,C3001610
2007,47,C0324394,C1334678
2008,48,C1564281,C2574453
2009,49,C0931262,C2121283
2010,50,C2974305,C3656960
2011,51,C1477787,C3090641
2012,52,C1420223,C3094168
2013,53,C1553576,C3699723
2014,54,C1556576,C3396900
2015,55,C1889336,C1959586
2016,56,C0282119,C3759501
2017,57,C1893734,C3345103
2018,58,C1071978,C2815764
2019,59,C1253434,C2981849
2020,60,C0550455,C3422467
2021,61,C2988014,C3739308
2022,62,C0921445,C2788831
2023,63,C0202886,C2712894
2024,64,C3002138,C3852278
2025,65,C1647687,C3450215
2026,66,C1633571,C2653510
2027,67,C0265985,C0825335
2028,68,C1066032,C3466134
2029,69,C0885754,C3683808
2030,0,C2699505,C3814645
2031,1,C1979467,C3553143
2032,2,C0072573,C2384331
2033,3,C1041391,C1986926
2034,4,C0598206,C1085282
2035,5,C0619238,C2678932
2036,6,C1979219,C3780422
2037,7,C2278012,C3926732
2038,8,C0076719,C1505021
2039,9,C0697292,C3086928
2040,10,C2538889,C3733894
2041,11,C1425334,C3422144
2042,12,C0222715,C3194688
2043,13,C0294791,C1548980
2044,14,C3159028,C3655022
2045,15,C1490740,C2478464
2046,16,C2808915,C3072529
2047,17,C1048734,C3600282
2048,18,C1196656,C3699482
2049,19,C0799851,C2501480
2050,20,C0483718,C3020498
2051,21,C2701720,C3827362
2052,22,C2789310,C3621081
2053,23,C0775748,C3004536
2054,24,C3094390,C3594737
2055,25,C1279858,C2692717
2056,26,C1939512,C2417873
2057,27,C2682583,C2757855
2058,28,C0678462,C3046407
2059,29,C3492557,C3721013
2060,30,C1573588,C2281959
2061,31,C1140480,C3388262
2062,32,C2662093,C3427778
2063,33,C3027353,C3579343
2064,34,C2675821,C3536518
2065,35,C2302999,C2703851
2066,36,C1147333,C3902104
2067,37,C1593293,C3297077
2068,38,C0365289,C3441603
2069,39,C1244765,C3616259
2070,40,C2757849,C3466487
2071,41,C1574185,C2324889
2072,42,C0679703,C3614356
2073,43,C2594856,C3331659
2074,44,C2691738,C3723949
2075,45,C0229640,C3374444
2076,46,C1936191,C2616784
2077,47,C0667595,C3380736
2078,48,C1625315,C3654247
2079,49,C0072087,C3135099
2080,50,C3588671,C3751072
2081,51,C1865335,C3907325
2082,52,C0936012,C3890553
2083,53,C1024483,C2478625
2084,54,C3063390,C3320592
2085,55,C1062317,C2632259
2086,56,C3395587,C3698997
2087,57,C3008292,C3941348
2088,58,C1419291,C3745820
2089,59,C2460567,C2751851
2090,60,C1957293,C2369195
2091,61,C1258811,C2970049
2092,62,C2298845,C2970556
2093,63,C1499449,C2360102
2094,64,C0039591,C1069069
2095,65,C3131543,C3988362
2096,66,C2684249,C2819063
2097,67,C0154783,C0895071
2098,68,C0864365,C2444578
2099,69,C1172325,C3158271
2100,0,C1331187,C3126231
2101,1,C0507240,C4007578
2102,2,C1511642,C1953430
2103,3,C1958730,C3678494
2104,4,C3654865,C3885280
2105,5,C3735877,C3743097
2106,6,C2555061,C3081959
2107,7,C0482401,C0944753
2108,8,C0819931,C3350863
2109,9,C0485079,C3802955
2110,10,C0375189,C3770431
2111,11,C0600380,C1301027
2112,12,C1083498,C1288551
2113,13,C3728378,C3993364
2114,14,C1560824,C3050281
2115,15,C2314313,C2618843
2116,16,C1083515,C2769258
2117,17,C1653686,C2944601
2118,18,C0297812,C0873206
2119,19,C0115751,C2557593
2120,20,C0915374,C3178815
2121,21,C3720438,C3993452
2122,22,C1967675,C3376956
2123,23,C0673232,C2305156
2124,24,C0739820,C1216968
2125,25,C3276299,C3778848
2126,26,C1894961,C3552588
2127,27,C2992659,C2996356
2128,28,C1281105,C1722419
2129,29,C2550675,C2660699
2130,30,C1220478,C2511315
2131,31,C2484955,C2820265
2132,32,C1232170,C3614002
2133,33,C1969086,C3964769
2134,34,C3092337,C3720487
2135,35,C2786985,C3242871
2136,36,C1840547,C2276501
2137,37,C1042054,C1502750
2138,38,C1517202,C2441577
2139,39,C1469381,C2526814
2140,40,C1001422,C4038498
2141,41,C1920392,C2937859
2142,42,C2785986,C2941410
2143,43,C1053961,C2750339
2144,44,C1221038,C3785020
2145,45,C1471193,C1936247
2146,46,C1937667,C2499135
2147,47,C1336721,C2001854
2148,48,C1972017,C3555392
2149,49,C1199943,C1221282
2150,50,C1226029,C3627644
2151,51,C0322399,C3654977
2152,52,C1979389,C3738816
2153,53,C0882608,C2673784
2154,54,C0484803,C1958221
2155,55,C1987539,C4036984
2156,56,C0659332,C1076682
2157,57,C1636501,C2270789
2158,58,C1662355,C3336012
2159,59,C0253964,C0388808
2160,60,C0657909,C2822889
2161,61,C0629853,C1439728
2162,62,C1084500,C3257559
2163,63,C1127904,C3034521
2164,64,C1259709,C2789864
2165,65,C0983809,C2438963
2166,66,C1470648,C2390463
2167,67,C1462590,C2647620
2168,68,C0641541,C3440398
2169,69,C0215098,C2918451
2170,0,C0223846,C3787149
2171,1,C1059162,C2948888
2172,2,C0996358,C3416023
2173,3,C1038210,C2314463
2174,4,C0951715,C1721625
2175,5,C0681433,C2639469
2176,6,C0891255,C1182694
2177,7,C3379265,C3640169
2178,8,C0596457,C3935802
2179,9,C1480659,C3752685
2180,10,C0643882,C3767785
2181,11,C3978848,C4003404
2182,12,C1092706,C3601922
2183,13,C1024922,C2452185
2184,14,C0331881,C1522974
2185,15,C1869299,C3444258
2186,16,C2663350,C3067942
2187,17,C2417187,C2629007
2188,18,C1623387,C1649934
2189,19,C1453760,C1938776
2190,20,C2540940,C3165543
2191,21,C0068620,C1220916
2192,22,C0409756,C2293608
2193,23,C0930393,C1908945
2194,24,C1203806,C3399898
2195,25,C2418482,C2454195
2196,26,C3118949,C3663035
2197,27,C1422138,C2698141
2198,28,C1690771,C2543231
2199,29,C0093048,C3790318
2200,30,C0591366,C3933759
2201,31,C1313301,C1476693
2202,32,C1856874,C3564194
2203,33,C1265319,C2734894
2204,34,C0077898,C2702454
2205,35,C0713420,C0718335
2206,36,C1576257,C3441446
2207,37,C0330230,C3724646
2208,38,C2534498,C2797995
2209,39,C1478019,C3902001
2210,40,C0682285,C1213555
2211,41,C1514346,C1846989
2212,42,C1903583,C2984155
2213,43,C2775259,C3464857
2214,44,C1718066,C2789726
2215,45,C0592496,C1566392
2216,46,C0266763,C1628343
2217,47,C2388159,C2640940
2218,48,C1157148,C2716499
2219,49,C0739956,C2529212
2220,50,C2334614,C2964600
2221,51,C2816715,C3635134
2222,52,C3213230,C3846181
2223,53,C1709317,C3853629
2224,54,C0432050,C3090611
2225,55,C0791797,C3028447
2226,56,C0339863,C3793209
2227,57,C1957576,C3658631
2228,58,C3371916,C3613639
2229,59,C2314695,C2509727
2230,60,C1468486,C3972318
2231,61,C0329178,C2605444
2232,62,C0613208,C3429688
2233,63,C0603361,C1939822
2234,64,C2244886,C3763002
2235,65,C0341960,C1660367
2236,66,C0064912,C2962196
2237,67,C1193585,C2281185
2238,68,C3199898,C3970754
2239,69,C1475227,C3767263
2240,0,C3378122,C3604969
2241,1,C1088047,C3120981
2242,2,C1233203,C3234896
2243,3,C3321370,C3965540
2244,4,C2943672,C3372487
2245,5,C0931257,C1681996
2246,6,C1229638,C3403762
2247,7,C2427386,C3455829
2248,8,C0634050,C1994445
2249,9,C2950702,C3820249
2250,10,C2535869,C3417824
2251,11,C0879516,C2976657
2252,12,C2580033,C3591273
2253,13,C0892903,C2659303
2254,14,C1708600,C3788774
2255,15,C1153623,C1318010
2256,16,C1650555,C3473461
2257,17,C0080855,C1261559
2258,18,C0295842,C3067051
2259,19,C2503452,C3128430
2260,20,C1213750,C3953057
2261,21,C3013103,C4036843
2262,22,C0551906,C3387662
2263,23,C3261044,C3916513
2264,24,C3329958,C3885882
2265,25,C0149711,C1846693
2266,26,C0910764,C1672634
2267,27,C2541371,C3052710
2268,28,C1006937,C1709560
2269,29,C1077429,C3805760
2270,30,C0627173,C3349149
2271,31,C1505660,C1840784
2272,32,C2400563,C3097016
2273,33,C1182493,C1895120
2274,34,C3424649,C3858757
2275,35,C0798134,C3548046
2276,36,C1420914,C3919541
2277,37,C0871925,C3529952
2278,38,C2931543,C3331489
2279,39,C0018075,C1627056
2280,40,C0250731,C1567962
2281,41,C1722965,C2582073
2282,42,C1944309,C2332393
2283,43,C0648644,C0937071
2284,44,C1740060,C3084820
2285,45,C0030327,C0827337
2286,46,C2580058,C3657917
2287,47,C2309846,C3084346
2288,48,C0220248,C1505258
2289,49,C0396670,C1635366
2290,50,C3759301,C3902465
2291,51,C2512296,C3993049
2292,52,C0265412,C1671282
2293,53,C1531223,C1697276
2294,54,C0275747,C0603076
2295,55,C2643253,C4019371
2296,56,C1572667,C3370376
2297,57,C0573745,C2624764
2298,58,C0608560,C3618434
2299,59,C0983817,C1530782
2300,60,C2656183,C3110588
2301,61,C0003458,C3217321
2302,62,C0140155,C3062346
2303,63,C0814965,C3620198
2304,64,C1424962,C2812060
2305,65,C0355594,C1854297
2306,66,C2973681,C3059131
2307,67,C0683879,C3540787
2308,68,C0794346,C2286180
2309,69,C1664213,C1962331
2310,0,C1502093,C3793364
2311,1,C0033798,C3257749
2312,2,C0981933,C3340290
2313,3,C0914711,C1307687
2314,4,C2280090,C3957040
2315,5,C0540303,C1084649
2316,6,C1201796,C3166070
2317,7,C1958912,C2566460
2318,8,C0814788,C1491583
2319,9,C0881833,C3530026
2320,10,C1068278,C2369184
2321,11,C2406801,C3905044
2322,12,C1989572,C3966343
2323,13,C0225977,C3575960
2324,14,C2655638,C2930526
2325,15,C0916550,C1903213
2326,16,C2513556,C3321329
2327,17,C0223175,C1892721
2328,18,C1709935,C3755183
2329,19,C1574921,C3023712
2330,20,C3022475,C3439778
2331,21,C3926378,C3932763
2332,22,C3723992,C3819956
2333,23,C1270022,C4037500
2334,24,C1899672,C3553045
2335,25,C0803061,C2679305
2336,26,C0028641,C2257117
2337,27,C0671644,C0693092
2338,28,C3149376,C3549678
2339,29,C2557550,C3173364
2340,30,C2352246,C3324696
2341,31,C1077341,C2285224
2342,32,C3016817,C3992093
2343,33,C0005411,C3259452
2344,34,C1084352,C1369836
2345,35,C3841227,C4026162
2346,36,C0924286,C3248473
2347,37,C2360953,C2752332
2348,38,C1827633,C2292866
2349,39,C0821608,C3102882
2350,40,C0043816,C2486593
2351,41,C2979923,C3494083
2352,42,C2395239,C3559313
2353,43,C0043002,C1240179
2354,44,C2810569,C3728615
2355,45,C0662611,C0975344
2356,46,C1033313,C3336297
2357,47,C2995664,C3269670
2358,48,C2265897,C3345964
2359,49,C0817731,C2694209
2360,50,C2297633,C2632897
2361,51,C1666510,C2745698
2362,52,C1228633,C3265185
2363,53,C1449142,C2432342
2364,54,C1655945,C1958331
2365,55,C1072828,C2992442
2366,56,C1915469,C3814759
2367,57,C1244568,C2796452
2368,58,C2990875,C3378142
2369,59,C2753590,C3010169
2370,60,C1483875,C3309601
2371,61,C0525605,C3123014
2372,62,C0501164,C1739707
2373,63,C0160544,C0294226
2374,64,C0083704,C3426161
2375,65,C0804234,C3745697
2376,66,C0806613,C2390853
2377,67,C1592882,C3485477
2378,68,C0942781,C1531365
2379,69,C2604689,C3547772
2380,0,C3619663,C3643232
2381,1,C0731290,C3992648
2382,2,C3365425,C3934685
2383,3,C0065419,C3388140
2384,4,C0771975,C3902643
2385,5,C1428960,C3821598
2386,6,C0970346,C2754025
2387,7,C2931291,C3392992
2388,8,C1325333,C1625313
2389,9,C3214407,C3470734
2390,10,C0221207,C2962632
2391,11,C1359484,C1909832
2392,12,C2736555,C2937448
2393,13,C0780636,C3604316
2394,14,C2526808,C3947682
2395,15,C0830743,C2813589
2396,16,C0081600,C1615160
2397,17,C0229613,C3010360
2398,18,C1829268,C3221552
2399,19,C1830679,C2539379
2400,20,C0024042,C1602127
2401,21,C1130899,C1188187
2402,22,C1074221,C2430411
2403,23,C0827801,C4044008
2404,24,C2943671,C3633558
2405,25,C1281584,C3360319
2406,26,C0883235,C3989356
2407,27,C2650845,C3820859
2408,28,C3434509,C3996555
2409,29,C0046764,C2338533
2410,30,C0256181,C2964126
2411,31,C0908008,C2794751
2412,32,C0655419,C3730595
2413,33,C1640920,C2975110
2414,34,C2359870,C3148376
2415,35,C1318544,C1824212
2416,36,C1132847,C3058958
2417,37,C0759605,C3346898
2418,38,C3407089,C3632761
2419,39,C0920726,C3739187
2420,40,C0803815,C3916998
2421,41,C0042388,C3066107
2422,42,C0062169,C2758853
2423,43,C2979830,C3735634
2424,44,C2554419,C2628364
2425,45,C1012395,C1230664
2426,46,C1638262,C3869531
2427,47,C2579899,C3806557
2428,48,C0594706,C2384950
2429,49,C1147393,C3759824
2430,50,C1175046,C3383751
2431,51,C0185615,C3619193
2432,52,C1041226,C3242697
2433,53,C2697785,C3435573
2434,54,C0268576,C0604430
2435,55,C1011462,C1541550
2436,56,C1193769,C3363237
2437,57,C1709585,C2694868
2438,58,C1575650,C1664467
2439,59,C2646263,C2799781
2440,60,C3336807,C3987433
2441,61,C3372458,C3943625
2442,62,C1066766,C4036019
2443,63,C2375534,C2713182
2444,64,C3428430,C3585168
2445,65,C1250675,C1652823
2446,66,C0372043,C2430166
2447,67,C0962780,C3722352
2448,68,C1039583,C3130387
2449,69,C1316417,C1523098
2450,0,C0280416,C4010381
2451,1,C1361942,C1932944
2452,2,C0635724,C3149186
2453,3,C3845380,C3973176
2454,4,C2456621,C3352470
2455,5,C0681046,C3157105
2456,6,C0865206,C3970383
2457,7,C1171329,C3814551
2458,8,C1895798,C2355013
2459,9,C0375133,C3061977
2460,10,C0491886,C1127706
2461,11,C2297968,C3096094
2462,12,C0971842,C3607278
2463,13,C1928000,C3370860
2464,14,C0752959,C3780040
2465,15,C0966104,C2480043
2466,16,C0506241,C1448250
2467,17,C3564557,C3774433
2468,18,C0723559,C2240579
2469,19,C2245803,C2417296
2470,20,C0786065,C3388262
2471,21,C0482222,C1432022
2472,22,C1500833,C3617780
2473,23,C3268427,C3273989
2474,24,C0379049,C1223383
2475,25,C1147281,C3023623
2476,26,C3390498,C3733787
2477,27,C1611482,C3167995
2478,28,C0083616,C3533754
2479,29,C2912332,C3622350
2480,30,C1247032,C1509494
2481,31,C2744289,C2793147
2482,32,C1828477,C1917119
2483,33,C2533128,C3407400
2484,34,C0085658,C1492985
2485,35,C0792858,C1892170
2486,36,C1323761,C3571335
2487,37,C0931038,C2565427
2488,38,C1525706,C3535905
2489,39,C3540667,C3563315
2490,40,C1052262,C1664913
2491,41,C0996581,C3542123
2492,42,C0429263,C2713011
2493,43,C1241619,C2685809
2494,44,C0263288,C2734448
2495,45,C1709625,C3123344
2496,46,C2631645,C2930039
2497,47,C3501247,C3739243
2498,48,C0252473,C1627579
2499,49,C1054096,C1250559
2500,50,C1205295,C2275843
2501,51,C3017359,C3176337
2502,52,C0504589,C3043933
2503,53,C1470576,C4042078
2504,54,C0206340,C0941329
2505,55,C3128807,C3824398
2506,56,C2653826,C3275472
2507,57,C0091409,C2736631
2508,58,C1079451,C1880837
2509,59,C1252459,C2479739
2510,60,C1851753,C2778507
2511,61,C1420451,C1482551
2512,62,C2673063,C3271176
2513,63,C0596674,C3538628
2514,64,C0817408,C2306580
2515,65,C0050242,C3324402
2516,66,C0086769,C1709073
2517,67,C0742248,C1428890
2518,68,C1210045,C2549291
2519,69,C0714688,C2930387
2520,0,C0056222,C2996336
2521,1,C0226824,C3916082
2522,2,C0486002,C3030020
2523,3,C1197157,C2829812
2524,4,C3795781,C3799583
2525,5,C1518277,C3043615
2526,6,C0021479,C2676055
2527,7,C2374434,C3020583
2528,8,C1260503,C3147685
2529,9,C1135288,C2485513
2530,10,C1681510,C2469031
2531,11,C0321263,C1454960
2532,12,C0816680,C3709534
2533,13,C1468860,C2744842
2534,14,C2948494,C3262383
2535,15,C0980648,C3907514
2536,16,C3109998,C3607321
2537,17,C1838760,C2712711
2538,18,C0035326,C3372991
2539,19,C3587901,C3741334
2540,20,C0073533,C3889501
2541,21,C2991188,C3091033
2542,22,C1181382,C2311701
2543,23,C0322610,C0997501
2544,24,C1206489,C3087051
2545,25,C1532669,C1620347
2546,26,C1166192,C3002563
2547,27,C0925864,C2635307
2548,28,C1135217,C3240858
2549,29,C2940561,C3606998
2550,30,C0062944,C3405533
2551,31,C3029844,C3640340
2552,32,C2534761,C3488595
2553,33,C1413254,C2426476
2554,34,C2813617,C4036876
2555,35,C1829180,C3119952
2556,36,C2448752,C3763633
2557,37,C0037684,C3746489
2558,38,C2382860,C3053812
2559,39,C1511075,C2512342
2560,40,C1057146,C4006069
2561,41,C0328746,C3927880
2562,42,C1505981,C2342940
2563,43,C0645925,C1928312
2564,44,C2929528,C3413398
2565,45,C1079496,C1284388
2566,46,C2389247,C3996090
2567,47,C1225325,C3758296
2568,48,C0490903,C1652817
2569,49,C1434054,C1818341
2570,50,C3393094,C3597307
2571,51,C1718897,C2717144
2572,52,C1453805,C3795974
2573,53,C2627569,C4011257
2574,54,C3024196,C3324187
2575,55,C1554416,C3948636
2576,56,C3786897,C3827674
2577,57,C2581189,C3845426
2578,58,C2924588,C3959688
2579,59,C0624759,C3928550
2580,60,C1549865,C3282397
2581,61,C2309545,C2995957
2582,62,C1100554,C1901755
2583,63,C3467292,C3553255
2584,64,C3211455,C3619440
2585,65,C0853869,C2765096
2586,66,C0071581,C1708318
2587,67,C2665309,C3445905
2588,68,C0979175,C3998723
2589,69,C0449915,C2418395
2590,0,C1147116,C1830340
2591,1,C2742936,C3713553
2592,2,C0910152,C3669023
2593,3,C3482784,C3807688
2594,4,C1648576,C2987597
2595,5,C1538104,C3108971
2596,6,C1933416,C3260326
2597,7,C2546925,C3070433
2598,8,C0482616,C1060615
2599,9,C0344191,C0383637
2600,10,C0946523,C3067141
2601,11,C3103523,C3369720
2602,12,C1664231,C1922501
2603,13,C0285452,C1670504
2604,14,C1453629,C2340518
2605,15,C1438422,C2806352
2606,16,C2313345,C2930387
2607,17,C1659052,C3978512
2608,18,C3274564,C4019850
2609,19,C2275417,C2330253
2610,20,C1121874,C1469684
2611,21,C2457532,C2691957
2612,22,C0955227,C2943585
2613,23,C1022622,C3379758
2614,24,C1751506,C2354694
2615,25,C0478127,C3891395
2616,26,C1469631,C1937518
2617,27,C1062281,C2581060
2618,28,C1082563,C3079705
2619,29,C1280357,C2546604
2620,30,C0049599,C3042468
2621,31,C1147780,C1335215
2622,32,C0032859,C3825869
2623,33,C2687813,C3396396
2624,34,C3657406,C3957890
2625,35,C1240236,C2437304
2626,36,C0639016,C1992813
2627,37,C1216851,C1586501
2628,38,C0952190,C1191094
2629,39,C1505539,C3712044
2630,40,C0024417,C3262822
2631,41,C1132353,C3981248
2632,42,C2355410,C3356535
2633,43,C0954433,C3565310
2634,44,C1552124,C2338652
2635,45,C1259992,C3223700
2636,46,C0585474,C1625740
2637,47,C2995119,C3014831
2638,48,C1006604,C1815532
2639,49,C2289504,C3279829
2640,50,C2782136,C3053327
2641,51,C2349045,C2475018
2642,52,C2756143,C4037372
2643,53,C1571284,C3096547
2644,54,C0988658,C3033397
2645,55,C0177430,C2354259
2646,56,C1502219,C2787912
2647,57,C1985644,C2522391
2648,58,C2423516,C3639811
2649,59,C0723148,C2821308
2650,60,C1003486,C3610270
2651,61,C1553671,C3147035
2652,62,C0709452,C2283127
2653,63,C0940582,C3909947
2654,64,C3957690,C4018412
2655,65,C3446195,C3466018
2656,66,C1248850,C1572737
2657,67,C0653443,C3465333
2658,68,C1834729,C1979013
2659,69,C3318879,C3337657
2660,0,C0502873,C1911253
2661,1,C3695930,C3729492
2662,2,C3826502,C4022929
2663,3,C1333842,C2293283
2664,4,C0032064,C1976716
2665,5,C1917773,C3767165
2666,6,C1499873,C2782394
2667,7,C2817026,C2978982
2668,8,C2615152,C3077956
2669,9,C0528926,C2289513
2670,10,C0971840,C1512809
2671,11,C3230453,C3276775
2672,12,C0241366,C2506903
2673,13,C2448012,C3636073
2674,14,C2714265,C3080626
2675,15,C0097953,C3359416
2676,16,C0285141,C1191519
2677,17,C2759220,C3786009
2678,18,C0607873,C2663715
2679,19,C1428625,C2792834
2680,20,C0817387,C2660820
2681,21,C0894294,C2497139
2682,22,C1273509,C1464607
2683,23,C1327826,C1464609
2684,24,C1742932,C2450793
2685,25,C0966131,C1976628
2686,26,C0728864,C3831923
2687,27,C0154096,C4001401
2688,28,C2481957,C2722379
2689,29,C2642810,C3493626
2690,30,C2932241,C3385267
2691,31,C1137679,C3429832
2692,32,C1490332,C2809195
2693,33,C2974741,C3990473
2694,34,C1009214,C2797120
2695,35,C1859569,C2809961
2696,36,C1011041,C2293729
2697,37,C1001080,C1252632
2698,38,C0045564,C1629569
2699,39,C1501239,C3100980
2700,40,C1944525,C3545536
2701,41,C2939160,C3351895
2702,42,C2684920,C3242367
2703,43,C0224209,C2415152
2704,44,C0798460,C1455521
2705,45,C2485027,C3359375
2706,46,C1478692,C2610380
2707,47,C2072515,C3930692
2708,48,C0872114,C2289006
2709,49,C2790150,C3776382
2710,50,C0270541,C3367039
2711,51,C1482927,C1816790
2712,52,C1039835,C2476900
2713,53,C0890437,C1434097
2714,54,C2684913,C3970133
2715,55,C1600080,C1884984
2716,56,C0505094,C3776046
2717,57,C2772498,C3554015
2718,58,C2770297,C3291333
2719,59,C1568236,C2666719
2720,60,C1993108,C4012097
2721,61,C1371227,C3657385
2722,62,C1154554,C1669279
2723,63,C2281154,C3441019
2724,64,C2604060,C3996944
2725,65,C3622043,C3627878
2726,66,C1052620,C2325305
2727,67,C0994469,C1200908
2728,68,C1384620,C3975672
2729,69,C1092924,C3853960
2730,0,C2641405,C3933767
2731,1,C0931285,C3629410
2732,2,C0910570,C2766599
2733,3,C1135819,C2497249
2734,4,C0052166,C3726806
2735,5,C0791702,C3050190
2736,6,C0117251,C1064834
2737,7,C3778286,C4007826
2738,8,C1896433,C2289385
2739,9,C2520057,C3348087
2740,10,C0821030,C3370497
2741,11,C0043500,C0768501
2742,12,C0044067,C3565266
2743,13,C0655405,C3375962
2744,14,C0963167,C1643595
2745,15,C1242246,C2793753
2746,16,C1881664,C2933663
2747,17,C1285116,C1365920
2748,18,C1438540,C2561443
2749,19,C3596386,C3622842
2750,20,C0385965,C3889778
2751,21,C0945373,C1183124
2752,22,C1761591,C3022812
2753,23,C1048243,C3949243
2754,24,C0001540,C3350804
2755,25,C3609643,C3763995
2756,26,C3154964,C3325805
2757,27,C0982902,C3620674
2758,28,C1578603,C1894446
2759,29,C1900062,C2750068
2760,30,C0786159,C3370830
2761,31,C1631850,C3733481
2762,32,C1292732,C2290058
2763,33,C2463136,C2954170
2764,34,C2688718,C3531685
2765,35,C2750164,C3966693
2766,36,C0889772,C2736363
2767,37,C3375958,C3934387
2768,38,C0015035,C3373393
2769,39,C1238912,C3237642
2770,40,C1010340,C2642295
2771,41,C1567584,C3717872
2772,42,C0242555,C3584746
2773,43,C1642217,C2454137
2774,44,C0068382,C3482213
2775,45,C0891922,C2780142
2776,46,C0335911,C2490131
2777,47,C1168677,C2408517
2778,48,C1261333,C1911702
2779,49,C1050443,C1066647
2780,50,C2809118,C3060653
2781,51,C1631407,C4019238
2782,52,C2756014,C3801784
2783,53,C0654855,C3078001
2784,54,C2970455,C3918437
2785,55,C2000429,C2760301
2786,56,C0695252,C3960311
2787,57,C0229179,C0597895
2788,58,C2774290,C2804160
2789,59,C0647016,C1489162
2790,60,C1942098,C3562548
2791,61,C3328839,C3492612
2792,62,C1304930,C3825987
2793,63,C0922454,C1567918
2794,64,C2239737,C2622680
2795,65,C2990969,C3765159
2796,66,C2687683,C2764204
2797,67,C1178087,C2598993
2798,68,C2330961,C2935989
2799,69,C0449560,C0704670
2800,0,C3154910,C3783579
2801,1,C1261234,C2640304
2802,2,C2379921,C3003294
2803,3,C1548119,C1679840
2804,4,C1612191,C3242207
2805,5,C2525535,C3785631
2806,6,C2768349,C3588351
2807,7,C1004461,C3967002
2808,8,C0068711,C0723399
2809,9,C1498608,C2571927
2810,10,C0926732,C3232336
2811,11,C0638623,C0800154
2812,12,C3578502,C3758273
2813,13,C1718753,C3660657
2814,14,C2323540,C3356674
2815,15,C0775460,C2451057
2816,16,C0851307,C4038020
2817,17,C1619948,C3943521
2818,18,C1098325,C2981888
2819,19,C2327360,C3780644
2820,20,C1022484,C3775220
2821,21,C0820721,C3630631
2822,22,C2798425,C3562809
2823,23,C1325827,C1894987
2824,24,C0629819,C3981809
2825,25,C1174050,C2619301
2826,26,C1700342,C2747397
2827,27,C2305248,C3744721
2828,28,C2688491,C3122382
2829,29,C2391150,C3788882
2830,30,C2691848,C3034892
2831,31,C1937912,C3280113
2832,32,C1076668,C1246285
2833,33,C0016079,C1710300
2834,34,C1543683,C3846936
2835,35,C3130315,C3279590
2836,36,C0935718,C3952470
2837,37,C3402153,C3937843
2838,38,C1098761,C2685132
2839,39,C3178580,C3736402
2840,40,C1085416,C2467893
2841,41,C0965822,C3825512
2842,42,C1848628,C2712161
2843,43,C1230739,C1926432
2844,44,C3005997,C3585482
2845,45,C1236688,C3846409
2846,46,C2337188,C3913538
2847,47,C2418983,C2800544
2848,48,C2923562,C2986210
2849,49,C1835517,C2827798
2850,50,C2980347,C3970150
2851,51,C2242864,C2359789
2852,52,C0716869,C1309577
2853,53,C1152964,C1599340
2854,54,C2376949,C3019999
2855,55,C1630219,C1843282
2856,56,C1156272,C3401570
2857,57,C3400182,C3788567
2858,58,C1634541,C3825456
2859,59,C1985520,C3191079
2860,60,C1890843,C2689455
